ID,PROVINCE_CODE,PROVINCE,CITY_CODE,CITY,MAGNETIC ANOMALY,LITOLOGI_CODE,LITOLOGI,MINERAL_CODE,MINERAL_POTENTIAL,INFORMATION,DATA_SOURCE,EASTING,NORTHING,LAT,LON
1,61,Kalimantan Barat,,Kapuas Hulu,,,,1,Air Raksa,"Primer kadar Hg 0,70%",,690488.7339,49588.96606,0.351560294,112.8515625
2,61,Kalimantan Barat,,Kapuas Hulu,,,,1,Air Raksa,Kadar 25% Hg,,690488.7339,49588.96606,0.439448816,112.7636719
3,61,Kalimantan Barat,,Kapuas Hulu,,,,1,Air Raksa,Kadar 15% Hg,,690488.7339,49588.96606,0.351560294,112.2363281
4,61,Kalimantan Barat,,Kapuas Hulu,,,,1,Air Raksa,Kadar 15% Hg,,690488.7339,49588.96606,0.351560294,112.3242187
5,61,Kalimantan Barat,,Kapuas Hulu,,,,1,Air Raksa,"Primer kadar Hg 0,70%",,690488.7339,49588.96606,0.326466197,112.8076172
6,61,Kalimantan Barat,,Kapuas Hulu,,,,1,Air Raksa,Kadar 25% Hg,,690488.7339,49588.96606,0.408198531,112.7197266
7,61,Kalimantan Barat,,Kapuas Hulu,,,,1,Air Raksa,Kadar 15% Hg,,690488.7339,49588.96606,0.285617336,112.2802734
8,61,Kalimantan Barat,,Kapuas Hulu,,,,1,Air Raksa,Kadar 15% Hg,,690488.7339,49588.96606,0.326466197,112.3681641
9,61,Kalimantan Barat,,Kapuas Hulu,,,,1,Air Raksa,"Primer kadar Hg 0,70%",,690488.7339,49588.96606,0.351560294,112.8076172
10,61,Kalimantan Barat,,Kapuas Hulu,,,,1,Air Raksa,Kadar 25% Hg,,690488.7339,49588.96606,0.439448816,112.7197266
11,61,Kalimantan Barat,,Kapuas Hulu,,,,1,Air Raksa,Kadar 15% Hg,,690488.7339,49588.96606,0.30761571,112.2802734
12,61,Kalimantan Barat,,Kapuas Hulu,,,,1,Air Raksa,Kadar 15% Hg,,690488.7339,49588.96606,0.351560294,112.3681641
13,11,Aceh,,Aceh Barat,,,,1,Air Raksa,"Aluvial Tua dengan kadar Hg 0,12 ppm",,690488.7339,49588.96606,4.374627869,96.11938477
14,92,Papua Barat,,Manokwari,,,,2,Antimon,"Kadar Sb 4,6% s.d. 25%","PT Lion Multi Resources, Laporan Eksplorasi Tahun 2011 (Tabulasi Dinas ESDM Provinsi)",690488.7339,49588.96606,-1.493971307,134.0332031
15,61,Kalimantan Barat,,Kapuas Hulu,,,,2,Antimon,Kadar 15% Hg,"PT Tambang Jaya Raya, Laporan RKAB 2018",690488.7339,49588.96606,0.439448816,112.5
16,61,Kalimantan Barat,,Kapuas Hulu,,,,2,Antimon,Tidak ada data kadar Sb,"PT Makmur Pratama Indonesia, Laporan Studi Kelayakan",690488.7339,49588.96606,0.439448816,112.4121094
17,92,Papua Barat,,Manokwari,,,,2,Antimon,"Kadar Sb 4,6% s.d. 25%","PT Lion Multi Resources, Laporan Eksplorasi Tahun 2011 (Tabulasi Dinas ESDM Provinsi)",690488.7339,49588.96606,-1.118324342,134.0332031
18,61,Kalimantan Barat,,Kapuas Hulu,,,,2,Antimon,Kadar 15% Hg,"PT Tambang Jaya Raya, Laporan RKAB 2018",690488.7339,49588.96606,0.367326601,112.5
19,61,Kalimantan Barat,,Kapuas Hulu,,,,2,Antimon,Tidak ada data kadar Sb,"PT Makmur Pratama Indonesia, Laporan Studi Kelayakan",690488.7339,49588.96606,0.408198531,112.4560547
